Status,Implementation Type,full_name,module,entity_name,type,bases,source
,,sage.databases.findstat.FindStatStatistics,sage.databases.findstat,FindStatStatistics,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/databases/findstat.py#L2405
,,sage.databases.findstat.findmap,sage.databases.findstat,findmap,function,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/findstat.py#L1130
,,sage.databases.findstat.findstat,sage.databases.findstat,findstat,function,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/findstat.py#L892
,,sage.databases.jones,sage.databases.jones,jones,module,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/jones.py#L96
,,sage.databases.jones.JonesDatabase,sage.databases.jones,JonesDatabase,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/databases/jones.py#L96
,,sage.databases.jones.sortkey,sage.databases.jones,sortkey,function,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/jones.py#L83
,,sage.databases.knotinfo_db,sage.databases.knotinfo_db,knotinfo_db,module,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L48
,,sage.databases.knotinfo_db.KnotInfoColumnTypes,sage.databases.knotinfo_db,KnotInfoColumnTypes,class,Enum,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L48
,,sage.databases.knotinfo_db.KnotInfoColumns,sage.databases.knotinfo_db,KnotInfoColumns,class,Enum,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.KnotInfoDataBase,sage.databases.knotinfo_db,KnotInfoDataBase,class,"SageObject, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L336
,,sage.databases.knotinfo_db.KnotInfoFilename,sage.databases.knotinfo_db,KnotInfoFilename,class,Enum,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L178
,,sage.databases.knotinfo_db.alexander_polynomial,sage.databases.knotinfo_db,alexander_polynomial,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.alternating,sage.databases.knotinfo_db,alternating,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.arc_notation,sage.databases.knotinfo_db,arc_notation,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.braid_index,sage.databases.knotinfo_db,braid_index,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.braid_length,sage.databases.knotinfo_db,braid_length,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.braid_notation,sage.databases.knotinfo_db,braid_notation,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.braid_notation_old,sage.databases.knotinfo_db,braid_notation_old,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.conway_polynomial,sage.databases.knotinfo_db,conway_polynomial,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.cosmetic_crossing,sage.databases.knotinfo_db,cosmetic_crossing,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.crossing_number,sage.databases.knotinfo_db,crossing_number,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.dc,sage.databases.knotinfo_db,dc,class,KnotInfoColumns,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.determinant,sage.databases.knotinfo_db,determinant,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.dt_code,sage.databases.knotinfo_db,dt_code,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.dt_notation,sage.databases.knotinfo_db,dt_notation,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.fibered,sage.databases.knotinfo_db,fibered,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.filename,sage.databases.knotinfo_db,filename,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L178
,,sage.databases.knotinfo_db.gauss_notation,sage.databases.knotinfo_db,gauss_notation,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.geometric_type,sage.databases.knotinfo_db,geometric_type,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.homfly_polynomial,sage.databases.knotinfo_db,homfly_polynomial,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.homflypt_polynomial,sage.databases.knotinfo_db,homflypt_polynomial,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.jones_polynomial,sage.databases.knotinfo_db,jones_polynomial,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
,,sage.databases.knotinfo_db.kauffman_polynomial,sage.databases.knotinfo_db,kauffman_polynomial,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/databases/knotinfo_db.py#L68
