Status,Implementation Type,full_name,module,entity_name,type,bases,source
Implemented,Full,sage.rings.polynomial.polynomial_singular_interface.Polynomial_singular_repr,sage.rings.polynomial.polynomial_singular_interface,Polynomial_singular_repr,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_singular_interface.py#L451
Implemented,Full,sage.rings.polynomial.polynomial_singular_interface.can_convert_to_singular,sage.rings.polynomial.polynomial_singular_interface,can_convert_to_singular,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_singular_interface.py#L381
Implemented,Full,sage.rings.polynomial.polynomial_zmod_flint,sage.rings.polynomial.polynomial_zmod_flint,polynomial_zmod_flint,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zmod_flint.pyx#L60
Implemented,Full,sage.rings.polynomial.polynomial_zmod_flint.Polynomial_template,sage.rings.polynomial.polynomial_zmod_flint,Polynomial_template,class,Polynomial,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zmod_flint.pyx#L60
Implemented,Full,sage.rings.polynomial.polynomial_zmod_flint.Polynomial_zmod_flint,sage.rings.polynomial.polynomial_zmod_flint,Polynomial_zmod_flint,class,Polynomial_template,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zmod_flint.pyx#L71
Implemented,Full,sage.rings.polynomial.polynomial_zmod_flint.make_element,sage.rings.polynomial.polynomial_zmod_flint,make_element,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zmod_flint.pyx#L28
Implemented,Full,sage.rings.polynomial.polynomial_zz_pex,sage.rings.polynomial.polynomial_zz_pex,polynomial_zz_pex,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zz_pex.pyx#L68
Implemented,Full,sage.rings.polynomial.polynomial_zz_pex.Polynomial_ZZ_pEX,sage.rings.polynomial.polynomial_zz_pex,Polynomial_ZZ_pEX,class,Polynomial_template,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zz_pex.pyx#L68
Implemented,Full,sage.rings.polynomial.polynomial_zz_pex.Polynomial_template,sage.rings.polynomial.polynomial_zz_pex,Polynomial_template,class,Polynomial,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zz_pex.pyx#L60
Implemented,Full,sage.rings.polynomial.polynomial_zz_pex.make_element,sage.rings.polynomial.polynomial_zz_pex,make_element,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/polynomial_zz_pex.pyx#L28
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials,sage.rings.polynomial.q_integer_valued_polynomials,q_integer_valued_polynomials,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L117
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.Bases,sage.rings.polynomial.q_integer_valued_polynomials,Bases,class,Category_realization_of_parent,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L265
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.Binomial,sage.rings.polynomial.q_integer_valued_polynomials,Binomial,class,"A, CombinatorialFreeModule, BindableClass",https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L986
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.Element,sage.rings.polynomial.q_integer_valued_polynomials,Element,class,IndexedFreeModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L1221
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.ElementMethods,sage.rings.polynomial.q_integer_valued_polynomials,ElementMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L447
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.ParentMethods,sage.rings.polynomial.q_integer_valued_polynomials,ParentMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L293
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.QuantumValuedPolynomialRing,sage.rings.polynomial.q_integer_valued_polynomials,QuantumValuedPolynomialRing,class,"R, UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L117
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.Shifted,sage.rings.polynomial.q_integer_valued_polynomials,Shifted,class,"A, CombinatorialFreeModule, BindableClass",https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L533
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.q_binomial_x,sage.rings.polynomial.q_integer_valued_polynomials,q_binomial_x,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L73
Implemented,Full,sage.rings.polynomial.q_integer_valued_polynomials.q_int_x,sage.rings.polynomial.q_integer_valued_polynomials,q_int_x,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/q_integer_valued_polynomials.py#L42
Implemented,Full,sage.rings.polynomial.real_roots,sage.rings.polynomial.real_roots,real_roots,module,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2067
Implemented,Full,sage.rings.polynomial.real_roots.bernstein_down,sage.rings.polynomial.real_roots,bernstein_down,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2067
Implemented,Full,sage.rings.polynomial.real_roots.bernstein_expand,sage.rings.polynomial.real_roots,bernstein_expand,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L4463
Implemented,Full,sage.rings.polynomial.real_roots.bernstein_polynomial_factory,sage.rings.polynomial.real_roots,bernstein_polynomial_factory,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2530
Implemented,Full,sage.rings.polynomial.real_roots.bernstein_polynomial_factory_ar,sage.rings.polynomial.real_roots,bernstein_polynomial_factory_ar,class,bernstein_polynomial_factory,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2734
Implemented,Full,sage.rings.polynomial.real_roots.bernstein_polynomial_factory_intlist,sage.rings.polynomial.real_roots,bernstein_polynomial_factory_intlist,class,bernstein_polynomial_factory,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2570
Implemented,Full,sage.rings.polynomial.real_roots.bernstein_polynomial_factory_ratlist,sage.rings.polynomial.real_roots,bernstein_polynomial_factory_ratlist,class,bernstein_polynomial_factory,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2649
Implemented,Full,sage.rings.polynomial.real_roots.bernstein_up,sage.rings.polynomial.real_roots,bernstein_up,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2109
Implemented,Full,sage.rings.polynomial.real_roots.bitsize_doctest,sage.rings.polynomial.real_roots,bitsize_doctest,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L1968
Implemented,Full,sage.rings.polynomial.real_roots.cl_maximum_root,sage.rings.polynomial.real_roots,cl_maximum_root,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2325
Implemented,Full,sage.rings.polynomial.real_roots.cl_maximum_root_first_lambda,sage.rings.polynomial.real_roots,cl_maximum_root_first_lambda,function,,https://github.com/sagemath/sage/blob/develop/src/sage/rings/polynomial/real_roots.pyx#L2201
