Status,Implementation Type,full_name,module,entity_name,type,bases,source
,,sage.combinat.baxter_permutations.BaxterPermutations_all,sage.combinat.baxter_permutations,BaxterPermutations_all,class,"DisjointUnionEnumeratedSets, BaxterPermutations",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/baxter_permutations.py#L238
,,sage.combinat.baxter_permutations.BaxterPermutations_size,sage.combinat.baxter_permutations,BaxterPermutations_size,class,BaxterPermutations,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/baxter_permutations.py#L58
,,sage.combinat.bijectionist,sage.combinat.bijectionist,bijectionist,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/bijectionist.py#L393
,,sage.combinat.bijectionist.Bijectionist,sage.combinat.bijectionist,Bijectionist,class,"A, B, SageObject",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/bijectionist.py#L393
,,sage.combinat.binary_recurrence_sequences,sage.combinat.binary_recurrence_sequences,binary_recurrence_sequences,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_recurrence_sequences.py#L78
,,sage.combinat.binary_recurrence_sequences.BinaryRecurrenceSequence,sage.combinat.binary_recurrence_sequences,BinaryRecurrenceSequence,class,SageObject,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_recurrence_sequences.py#L78
,,sage.combinat.binary_tree,sage.combinat.binary_tree,binary_tree,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L44
,,sage.combinat.binary_tree.BinaryTree,sage.combinat.binary_tree,BinaryTree,class,"AbstractClonableTree, ClonableArray",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L44
,,sage.combinat.binary_tree.BinaryTrees,sage.combinat.binary_tree,BinaryTrees,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L3916
,,sage.combinat.binary_tree.BinaryTrees_all,sage.combinat.binary_tree,BinaryTrees_all,class,"DisjointUnionEnumeratedSets, BinaryTrees",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L4067
,,sage.combinat.binary_tree.BinaryTrees_size,sage.combinat.binary_tree,BinaryTrees_size,class,BinaryTrees,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L4171
,,sage.combinat.binary_tree.FullBinaryTrees_all,sage.combinat.binary_tree,FullBinaryTrees_all,class,"DisjointUnionEnumeratedSets, BinaryTrees",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L4317
,,sage.combinat.binary_tree.FullBinaryTrees_size,sage.combinat.binary_tree,FullBinaryTrees_size,class,BinaryTrees,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L4415
,,sage.combinat.binary_tree.LabelledBinaryTree,sage.combinat.binary_tree,LabelledBinaryTree,class,"AbstractLabelledClonableTree, BinaryTree",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L4585
,,sage.combinat.binary_tree.LabelledBinaryTrees,sage.combinat.binary_tree,LabelledBinaryTrees,class,LabelledOrderedTrees,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L5157
,,sage.combinat.binary_tree.binary_search_tree_shape,sage.combinat.binary_tree,binary_search_tree_shape,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L5225
,,sage.combinat.binary_tree.from_tamari_sorting_tuple,sage.combinat.binary_tree,from_tamari_sorting_tuple,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/binary_tree.py#L4033
,,sage.combinat.blob_algebra,sage.combinat.blob_algebra,blob_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/blob_algebra.py#L376
,,sage.combinat.blob_algebra.BlobAlgebra,sage.combinat.blob_algebra,BlobAlgebra,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/blob_algebra.py#L376
,,sage.combinat.blob_algebra.BlobDiagram,sage.combinat.blob_algebra,BlobDiagram,class,Element,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/blob_algebra.py#L35
,,sage.combinat.blob_algebra.BlobDiagrams,sage.combinat.blob_algebra,BlobDiagrams,class,"Parent, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/blob_algebra.py#L152
,,sage.combinat.cartesian_product,sage.combinat.cartesian_product,cartesian_product,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cartesian_product.py#L28
,,sage.combinat.cartesian_product.CartesianProduct_iters,sage.combinat.cartesian_product,CartesianProduct_iters,class,EnumeratedSetFromIterator,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cartesian_product.py#L28
,,sage.combinat.catalog_partitions,sage.combinat.catalog_partitions,catalog_partitions,module,,
,,sage.combinat.chas.all,sage.combinat.chas.all,all,module,,
,,sage.combinat.chas.fsym,sage.combinat.chas.fsym,fsym,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L201
,,sage.combinat.chas.fsym.Element,sage.combinat.chas.fsym,Element,class,IndexedFreeModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L712
,,sage.combinat.chas.fsym.ElementMethods,sage.combinat.chas.fsym,ElementMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L396
,,sage.combinat.chas.fsym.FSymBases,sage.combinat.chas.fsym,FSymBases,class,Category_realization_of_parent,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L201
,,sage.combinat.chas.fsym.FSymBasis_abstract,sage.combinat.chas.fsym,FSymBasis_abstract,class,"CombinatorialFreeModule, BindableClass",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L35
,,sage.combinat.chas.fsym.FreeSymmetricFunctions,sage.combinat.chas.fsym,FreeSymmetricFunctions,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L418
,,sage.combinat.chas.fsym.FreeSymmetricFunctions_Dual,sage.combinat.chas.fsym,FreeSymmetricFunctions_Dual,class,"UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L756
,,sage.combinat.chas.fsym.Fundamental,sage.combinat.chas.fsym,Fundamental,class,FSymBasis_abstract,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L535
,,sage.combinat.chas.fsym.FundamentalDual,sage.combinat.chas.fsym,FundamentalDual,class,FSymBasis_abstract,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L842
,,sage.combinat.chas.fsym.ParentMethods,sage.combinat.chas.fsym,ParentMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L227
,,sage.combinat.chas.fsym.ascent_set,sage.combinat.chas.fsym,ascent_set,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L1090
,,sage.combinat.chas.fsym.descent_composition,sage.combinat.chas.fsym,descent_composition,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L1161
,,sage.combinat.chas.fsym.descent_set,sage.combinat.chas.fsym,descent_set,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L1132
,,sage.combinat.chas.fsym.standardize,sage.combinat.chas.fsym,standardize,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/fsym.py#L1053
,,sage.combinat.chas.wqsym,sage.combinat.chas.wqsym,wqsym,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L1894
,,sage.combinat.chas.wqsym.Characteristic,sage.combinat.chas.wqsym,Characteristic,class,WQSymBasis_abstract,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L670
,,sage.combinat.chas.wqsym.Cone,sage.combinat.chas.wqsym,Cone,class,WQSymBasis_abstract,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L844
,,sage.combinat.chas.wqsym.Element,sage.combinat.chas.wqsym,Element,class,IndexedFreeModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L732
,,sage.combinat.chas.wqsym.ElementMethods,sage.combinat.chas.wqsym,ElementMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L2091
,,sage.combinat.chas.wqsym.Monomial,sage.combinat.chas.wqsym,Monomial,class,WQSymBasis_abstract,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L564
,,sage.combinat.chas.wqsym.ParentMethods,sage.combinat.chas.wqsym,ParentMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L1973
,,sage.combinat.chas.wqsym.StronglyCoarser,sage.combinat.chas.wqsym,StronglyCoarser,class,WQSymBasis_abstract,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L1002
,,sage.combinat.chas.wqsym.StronglyFiner,sage.combinat.chas.wqsym,StronglyFiner,class,WQSymBasis_abstract,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L1373
,,sage.combinat.chas.wqsym.WQSymBases,sage.combinat.chas.wqsym,WQSymBases,class,Category_realization_of_parent,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L1894
,,sage.combinat.chas.wqsym.WQSymBasis_abstract,sage.combinat.chas.wqsym,WQSymBasis_abstract,class,"CombinatorialFreeModule, BindableClass",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L53
,,sage.combinat.chas.wqsym.WordQuasiSymmetricFunctions,sage.combinat.chas.wqsym,WordQuasiSymmetricFunctions,class,"R, UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L272
,,sage.combinat.chas.wqsym.options,sage.combinat.chas.wqsym,options,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/chas/wqsym.py#L837
,,sage.combinat.cluster_algebra_quiver.all,sage.combinat.cluster_algebra_quiver.all,all,module,,
,,sage.combinat.cluster_algebra_quiver.cluster_seed,sage.combinat.cluster_algebra_quiver.cluster_seed,cluster_seed,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L63
,,sage.combinat.cluster_algebra_quiver.cluster_seed.ClusterSeed,sage.combinat.cluster_algebra_quiver.cluster_seed,ClusterSeed,class,SageObject,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L63
,,sage.combinat.cluster_algebra_quiver.cluster_seed.ClusterVariable,sage.combinat.cluster_algebra_quiver.cluster_seed,ClusterVariable,class,FractionFieldElement,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L5119
,,sage.combinat.cluster_algebra_quiver.cluster_seed.PathSubset,sage.combinat.cluster_algebra_quiver.cluster_seed,PathSubset,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L4770
,,sage.combinat.cluster_algebra_quiver.cluster_seed.SetToPath,sage.combinat.cluster_algebra_quiver.cluster_seed,SetToPath,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L4801
,,sage.combinat.cluster_algebra_quiver.cluster_seed.coeff_recurs,sage.combinat.cluster_algebra_quiver.cluster_seed,coeff_recurs,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L4747
,,sage.combinat.cluster_algebra_quiver.cluster_seed.get_green_vertices,sage.combinat.cluster_algebra_quiver.cluster_seed,get_green_vertices,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L4891
,,sage.combinat.cluster_algebra_quiver.cluster_seed.get_red_vertices,sage.combinat.cluster_algebra_quiver.cluster_seed,get_red_vertices,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L4912
,,sage.combinat.cluster_algebra_quiver.cluster_seed.is_LeeLiZel_allowable,sage.combinat.cluster_algebra_quiver.cluster_seed,is_LeeLiZel_allowable,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/cluster_algebra_quiver/cluster_seed.py#L4831
