Status,Implementation Type,full_name,module,entity_name,type,bases,source
,,sage.algebras,sage.algebras,algebras,module,,
Implemented,Full,sage.algebras.affine_nil_temperley_lieb,sage.algebras.affine_nil_temperley_lieb,affine_nil_temperley_lieb,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/affine_nil_temperley_lieb.py#L20
Implemented,Full,sage.algebras.affine_nil_temperley_lieb.AffineNilTemperleyLiebTypeA,sage.algebras.affine_nil_temperley_lieb,AffineNilTemperleyLiebTypeA,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/affine_nil_temperley_lieb.py#L20
Implemented,Full,sage.algebras.askey_wilson,sage.algebras.askey_wilson,askey_wilson,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/askey_wilson.py#L788
Implemented,Full,sage.algebras.askey_wilson.AlgebraMorphism,sage.algebras.askey_wilson,AlgebraMorphism,class,ModuleMorphismByLinearity,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/askey_wilson.py#L788
Implemented,Full,sage.algebras.askey_wilson.AskeyWilsonAlgebra,sage.algebras.askey_wilson,AskeyWilsonAlgebra,class,"R, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/askey_wilson.py#L31
Implemented,Full,sage.algebras.associated_graded,sage.algebras.associated_graded,associated_graded,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/associated_graded.py#L25
Implemented,Full,sage.algebras.associated_graded.AssociatedGradedAlgebra,sage.algebras.associated_graded,AssociatedGradedAlgebra,class,"A, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/associated_graded.py#L25
Implemented,Full,sage.algebras.catalog,sage.algebras.catalog,catalog,module,,
Implemented,Full,sage.algebras.cellular_basis,sage.algebras.cellular_basis,cellular_basis,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cellular_basis.py#L116
Implemented,Full,sage.algebras.cellular_basis.CellularBasis,sage.algebras.cellular_basis,CellularBasis,class,"A, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cellular_basis.py#L116
Implemented,Full,sage.algebras.clifford_algebra,sage.algebras.clifford_algebra,clifford_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L360
Implemented,Full,sage.algebras.clifford_algebra.CliffordAlgebra,sage.algebras.clifford_algebra,CliffordAlgebra,class,"Q, CombinatorialFreeModule",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L360
Implemented,Full,sage.algebras.clifford_algebra.CliffordAlgebraIndices,sage.algebras.clifford_algebra,CliffordAlgebraIndices,class,"Qdim, UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L49
Implemented,Full,sage.algebras.clifford_algebra.ExteriorAlgebra,sage.algebras.clifford_algebra,ExteriorAlgebra,class,"R, CliffordAlgebra",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L1374
Implemented,Full,sage.algebras.clifford_algebra.ExteriorAlgebraBoundary,sage.algebras.clifford_algebra,ExteriorAlgebraBoundary,class,"E, ExteriorAlgebraDifferential",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2182
Implemented,Full,sage.algebras.clifford_algebra.ExteriorAlgebraCoboundary,sage.algebras.clifford_algebra,ExteriorAlgebraCoboundary,class,"E, ExteriorAlgebraDifferential",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2424
Implemented,Full,sage.algebras.clifford_algebra.ExteriorAlgebraDifferential,sage.algebras.clifford_algebra,ExteriorAlgebraDifferential,class,"E, ModuleMorphismByLinearity, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2055
Implemented,Full,sage.algebras.clifford_algebra.ExteriorAlgebraIdeal,sage.algebras.clifford_algebra,ExteriorAlgebraIdeal,class,Ideal_nc,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/clifford_algebra.py#L2713
Implemented,Full,sage.algebras.cluster_algebra,sage.algebras.cluster_algebra,cluster_algebra,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L1216
Implemented,Full,sage.algebras.cluster_algebra.ClusterAlgebra,sage.algebras.cluster_algebra,ClusterAlgebra,class,"B, Parent, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L1216
Implemented,Full,sage.algebras.cluster_algebra.ClusterAlgebraElement,sage.algebras.cluster_algebra,ClusterAlgebraElement,class,ElementWrapper,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L393
Implemented,Full,sage.algebras.cluster_algebra.ClusterAlgebraSeed,sage.algebras.cluster_algebra,ClusterAlgebraSeed,class,"B, C, G, SageObject",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L632
Implemented,Full,sage.algebras.cluster_algebra.PrincipalClusterAlgebraElement,sage.algebras.cluster_algebra,PrincipalClusterAlgebraElement,class,ClusterAlgebraElement,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/cluster_algebra.py#L484
Implemented,Full,sage.algebras.commutative_dga,sage.algebras.commutative_dga,commutative_dga,module,,https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L4054
Implemented,Full,sage.algebras.commutative_dga.CohomologyClass,sage.algebras.commutative_dga,CohomologyClass,class,"SageObject, CachedRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/algebras/commutative_dga.py#L4054
