Status,full_name,module,entity_name,type,bases,source
,sage.groups.perm_gps.partn_ref.refinement_matrices.MatrixStruct,sage.groups.perm_gps.partn_ref.refinement_matrices,MatrixStruct,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/partn_ref/refinement_matrices.pyx#L172
,sage.groups.perm_gps.partn_ref.refinement_matrices.random_tests,sage.groups.perm_gps.partn_ref.refinement_matrices,random_tests,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/partn_ref/refinement_matrices.pyx#L298
,sage.groups.perm_gps.permgroup,sage.groups.perm_gps.permgroup,permgroup,module,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L265
,sage.groups.perm_gps.permgroup.PermutationGroup,sage.groups.perm_gps.permgroup,PermutationGroup,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L265
,sage.groups.perm_gps.permgroup.PermutationGroup_action,sage.groups.perm_gps.permgroup,PermutationGroup_action,class,PermutationGroup_generic,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L5301
,sage.groups.perm_gps.permgroup.PermutationGroup_generic,sage.groups.perm_gps.permgroup,PermutationGroup_generic,class,FiniteGroup,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L409
,sage.groups.perm_gps.permgroup.PermutationGroup_subgroup,sage.groups.perm_gps.permgroup,PermutationGroup_subgroup,class,PermutationGroup_generic,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L5043
,sage.groups.perm_gps.permgroup.direct_product_permgroups,sage.groups.perm_gps.permgroup,direct_product_permgroups,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L206
,sage.groups.perm_gps.permgroup.from_gap_list,sage.groups.perm_gps.permgroup,from_gap_list,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L234
,sage.groups.perm_gps.permgroup.hap_decorator,sage.groups.perm_gps.permgroup,hap_decorator,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L172
,sage.groups.perm_gps.permgroup.load_hap,sage.groups.perm_gps.permgroup,load_hap,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup.py#L159
,sage.groups.perm_gps.permgroup_element,sage.groups.perm_gps.permgroup_element,permgroup_element,module,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_element.pyx#L227
,sage.groups.perm_gps.permgroup_element.PermutationGroupElement,sage.groups.perm_gps.permgroup_element,PermutationGroupElement,class,MultiplicativeGroupElement,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_element.pyx#L227
,sage.groups.perm_gps.permgroup_element.SymmetricGroupElement,sage.groups.perm_gps.permgroup_element,SymmetricGroupElement,class,PermutationGroupElement,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_element.pyx#L2092
,sage.groups.perm_gps.permgroup_element.is_PermutationGroupElement,sage.groups.perm_gps.permgroup_element,is_PermutationGroupElement,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_element.pyx#L205
,sage.groups.perm_gps.permgroup_element.make_permgroup_element,sage.groups.perm_gps.permgroup_element,make_permgroup_element,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_element.pyx#L156
,sage.groups.perm_gps.permgroup_element.make_permgroup_element_v2,sage.groups.perm_gps.permgroup_element,make_permgroup_element_v2,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_element.pyx#L177
,sage.groups.perm_gps.permgroup_morphism,sage.groups.perm_gps.permgroup_morphism,permgroup_morphism,module,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_morphism.py#L45
,sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism,sage.groups.perm_gps.permgroup_morphism,PermutationGroupMorphism,class,Morphism,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_morphism.py#L45
,sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism_from_gap,sage.groups.perm_gps.permgroup_morphism,PermutationGroupMorphism_from_gap,class,"G, H, PermutationGroupMorphism",https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_morphism.py#L164
,sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism_id,sage.groups.perm_gps.permgroup_morphism,PermutationGroupMorphism_id,class,PermutationGroupMorphism,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_morphism.py#L160
,sage.groups.perm_gps.permgroup_morphism.PermutationGroupMorphism_im_gens,sage.groups.perm_gps.permgroup_morphism,PermutationGroupMorphism_im_gens,class,"G, H, PermutationGroupMorphism",https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_morphism.py#L245
,sage.groups.perm_gps.permgroup_morphism.is_PermutationGroupMorphism,sage.groups.perm_gps.permgroup_morphism,is_PermutationGroupMorphism,function,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_morphism.py#L313
,sage.groups.perm_gps.permgroup_named,sage.groups.perm_gps.permgroup_named,permgroup_named,module,,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L712
,sage.groups.perm_gps.permgroup_named.AlternatingGroup,sage.groups.perm_gps.permgroup_named,AlternatingGroup,class,PermutationGroup_symalt,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L712
,sage.groups.perm_gps.permgroup_named.ComplexReflectionGroup,sage.groups.perm_gps.permgroup_named,ComplexReflectionGroup,class,PermutationGroup_unique,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L3141
,sage.groups.perm_gps.permgroup_named.CyclicPermutationGroup,sage.groups.perm_gps.permgroup_named,CyclicPermutationGroup,class,PermutationGroup_unique,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L787
,sage.groups.perm_gps.permgroup_named.DiCyclicGroup,sage.groups.perm_gps.permgroup_named,DiCyclicGroup,class,PermutationGroup_unique,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L878
,sage.groups.perm_gps.permgroup_named.DihedralGroup,sage.groups.perm_gps.permgroup_named,DihedralGroup,class,PermutationGroup_unique,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L1462
,sage.groups.perm_gps.permgroup_named.GeneralDihedralGroup,sage.groups.perm_gps.permgroup_named,GeneralDihedralGroup,class,PermutationGroup_generic,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L1254
,sage.groups.perm_gps.permgroup_named.JankoGroup,sage.groups.perm_gps.permgroup_named,JankoGroup,class,PermutationGroup_unique,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L1114
,sage.groups.perm_gps.permgroup_named.KleinFourGroup,sage.groups.perm_gps.permgroup_named,KleinFourGroup,class,PermutationGroup_unique,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L1070
,sage.groups.perm_gps.permgroup_named.MathieuGroup,sage.groups.perm_gps.permgroup_named,MathieuGroup,class,PermutationGroup_unique,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L1804
,sage.groups.perm_gps.permgroup_named.PGL,sage.groups.perm_gps.permgroup_named,PGL,class,PermutationGroup_plg,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L2649
,sage.groups.perm_gps.permgroup_named.PGU,sage.groups.perm_gps.permgroup_named,PGU,class,PermutationGroup_pug,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L3012
,sage.groups.perm_gps.permgroup_named.PSL,sage.groups.perm_gps.permgroup_named,PSL,class,PermutationGroup_plg,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L2709
,sage.groups.perm_gps.permgroup_named.PSU,sage.groups.perm_gps.permgroup_named,PSU,class,PermutationGroup_pug,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L2962
,sage.groups.perm_gps.permgroup_named.PSp,sage.groups.perm_gps.permgroup_named,PSp,class,PermutationGroup_plg,https://github.com/sagemath/sage/blob/develop/src/sage/groups/perm_gps/permgroup_named.py#L2886
