Status,Implementation Type,full_name,module,entity_name,type,bases,source
Partial,Partial,sage.combinat.sf.kfpoly.compat,sage.combinat.sf.kfpoly,compat,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/kfpoly.py#L243
Partial,Partial,sage.combinat.sf.kfpoly.dom,sage.combinat.sf.kfpoly,dom,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/kfpoly.py#L290
Partial,Partial,sage.combinat.sf.kfpoly.kfpoly,sage.combinat.sf.kfpoly,kfpoly,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/kfpoly.py#L84
Partial,Partial,sage.combinat.sf.kfpoly.riggings,sage.combinat.sf.kfpoly,riggings,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/kfpoly.py#L203
Implemented,Full,sage.combinat.sf.kfpoly.schur_to_hl,sage.combinat.sf.kfpoly,schur_to_hl,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/kfpoly.py#L131
Partial,Partial,sage.combinat.sf.kfpoly.weight,sage.combinat.sf.kfpoly,weight,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/kfpoly.py#L341
Partial,Partial,sage.combinat.sf.llt,sage.combinat.sf.llt,llt,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/llt.py#L55
Partial,Partial,sage.combinat.sf.llt.Element,sage.combinat.sf.llt,Element,class,Element,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/llt.py#L761
Partial,Partial,sage.combinat.sf.llt.LLT_class,sage.combinat.sf.llt,LLT_class,class,"Sym, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/llt.py#L55
Partial,Partial,sage.combinat.sf.llt.LLT_cospin,sage.combinat.sf.llt,LLT_cospin,class,LLT_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/llt.py#L698
Partial,Partial,sage.combinat.sf.llt.LLT_generic,sage.combinat.sf.llt,LLT_generic,class,SymmetricFunctionAlgebra_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/llt.py#L417
Partial,Partial,sage.combinat.sf.llt.LLT_spin,sage.combinat.sf.llt,LLT_spin,class,LLT_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/llt.py#L628
Partial,Partial,sage.combinat.sf.macdonald,sage.combinat.sf.macdonald,macdonald,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L79
Partial,Partial,sage.combinat.sf.macdonald.Element,sage.combinat.sf.macdonald,Element,class,SymmetricFunctionAlgebra_generic_Element,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L938
Partial,Partial,sage.combinat.sf.macdonald.Macdonald,sage.combinat.sf.macdonald,Macdonald,class,"Sym, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L79
Partial,Partial,sage.combinat.sf.macdonald.MacdonaldPolynomials_generic,sage.combinat.sf.macdonald,MacdonaldPolynomials_generic,class,SymmetricFunctionAlgebra_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L718
Partial,Partial,sage.combinat.sf.macdonald.MacdonaldPolynomials_h,sage.combinat.sf.macdonald,MacdonaldPolynomials_h,class,MacdonaldPolynomials_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L1200
Partial,Partial,sage.combinat.sf.macdonald.MacdonaldPolynomials_ht,sage.combinat.sf.macdonald,MacdonaldPolynomials_ht,class,MacdonaldPolynomials_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L1412
Partial,Partial,sage.combinat.sf.macdonald.MacdonaldPolynomials_j,sage.combinat.sf.macdonald,MacdonaldPolynomials_j,class,MacdonaldPolynomials_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L1102
Partial,Partial,sage.combinat.sf.macdonald.MacdonaldPolynomials_p,sage.combinat.sf.macdonald,MacdonaldPolynomials_p,class,MacdonaldPolynomials_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L999
Partial,Partial,sage.combinat.sf.macdonald.MacdonaldPolynomials_q,sage.combinat.sf.macdonald,MacdonaldPolynomials_q,class,MacdonaldPolynomials_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L1068
Partial,Partial,sage.combinat.sf.macdonald.MacdonaldPolynomials_s,sage.combinat.sf.macdonald,MacdonaldPolynomials_s,class,MacdonaldPolynomials_generic,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L1689
Partial,Partial,sage.combinat.sf.macdonald.c1,sage.combinat.sf.macdonald,c1,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L551
Partial,Partial,sage.combinat.sf.macdonald.c2,sage.combinat.sf.macdonald,c2,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L581
Partial,Partial,sage.combinat.sf.macdonald.cmunu,sage.combinat.sf.macdonald,cmunu,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L655
Partial,Partial,sage.combinat.sf.macdonald.cmunu1,sage.combinat.sf.macdonald,cmunu1,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L611
Implemented,Full,sage.combinat.sf.macdonald.qt_kostka,sage.combinat.sf.macdonald,qt_kostka,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/macdonald.py#L1944
Partial,Partial,sage.combinat.sf.monomial,sage.combinat.sf.monomial,monomial,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/monomial.py#L30
Partial,Partial,sage.combinat.sf.monomial.Element,sage.combinat.sf.monomial,Element,class,Element,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/monomial.py#L297
Partial,Partial,sage.combinat.sf.monomial.SymmetricFunctionAlgebra_monomial,sage.combinat.sf.monomial,SymmetricFunctionAlgebra_monomial,class,"Sym, SymmetricFunctionAlgebra_classical",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/monomial.py#L30
Partial,Partial,sage.combinat.sf.multiplicative,sage.combinat.sf.multiplicative,multiplicative,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/multiplicative.py#L27
Partial,Partial,sage.combinat.sf.multiplicative.SymmetricFunctionAlgebra_multiplicative,sage.combinat.sf.multiplicative,SymmetricFunctionAlgebra_multiplicative,class,"Sym, SymmetricFunctionAlgebra_classical",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/multiplicative.py#L27
Implemented,Full,sage.combinat.sf.new_kschur,sage.combinat.sf.new_kschur,new_kschur,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L45
Implemented,Full,sage.combinat.sf.new_kschur.ElementMethods,sage.combinat.sf.new_kschur,ElementMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L602
Implemented,Full,sage.combinat.sf.new_kschur.KBoundedSubspace,sage.combinat.sf.new_kschur,KBoundedSubspace,class,"Sym, UniqueRepresentation, Parent",https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L45
Implemented,Full,sage.combinat.sf.new_kschur.KBoundedSubspaceBases,sage.combinat.sf.new_kschur,KBoundedSubspaceBases,class,Category_realization_of_parent,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L272
Implemented,Full,sage.combinat.sf.new_kschur.K_kSchur,sage.combinat.sf.new_kschur,K_kSchur,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L1402
Implemented,Full,sage.combinat.sf.new_kschur.ParentMethods,sage.combinat.sf.new_kschur,ParentMethods,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L317
Implemented,Full,sage.combinat.sf.new_kschur.kHomogeneous,sage.combinat.sf.new_kschur,kHomogeneous,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L1334
Implemented,Full,sage.combinat.sf.new_kschur.kSchur,sage.combinat.sf.new_kschur,kSchur,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L857
Implemented,Full,sage.combinat.sf.new_kschur.kSplit,sage.combinat.sf.new_kschur,kSplit,class,CombinatorialFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/new_kschur.py#L1179
Partial,Partial,sage.combinat.sf.ns_macdonald,sage.combinat.sf.ns_macdonald,ns_macdonald,module,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/sf/ns_macdonald.py#L190
