Status,full_name,module,entity_name,type,bases,source
,sage.combinat.matrices.hadamard_matrix.are_amicable_hadamard_matrices,sage.combinat.matrices.hadamard_matrix,are_amicable_hadamard_matrices,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L3559
,sage.combinat.matrices.hadamard_matrix.construction_four_symbol_delta_code_I,sage.combinat.matrices.hadamard_matrix,construction_four_symbol_delta_code_I,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L766
,sage.combinat.matrices.hadamard_matrix.construction_four_symbol_delta_code_II,sage.combinat.matrices.hadamard_matrix,construction_four_symbol_delta_code_II,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L835
,sage.combinat.matrices.hadamard_matrix.four_symbol_delta_code_smallcases,sage.combinat.matrices.hadamard_matrix,four_symbol_delta_code_smallcases,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L916
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix,sage.combinat.matrices.hadamard_matrix,hadamard_matrix,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1728
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_156,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_156,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L729
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_cooper_wallis_construction,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_cooper_wallis_construction,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1116
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_cooper_wallis_smallcases,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_cooper_wallis_smallcases,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1197
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_from_sds,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_from_sds,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1030
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_from_symmetric_conference_matrix,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_from_symmetric_conference_matrix,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L323
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_miyamoto_construction,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_miyamoto_construction,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L405
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_paleyI,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_paleyI,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L149
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_paleyII,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_paleyII,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L265
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_spence_construction,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_spence_construction,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1493
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_turyn_type,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_turyn_type,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1366
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_williamson_type,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_williamson_type,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L518
,sage.combinat.matrices.hadamard_matrix.hadamard_matrix_www,sage.combinat.matrices.hadamard_matrix,hadamard_matrix_www,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1925
,sage.combinat.matrices.hadamard_matrix.is_hadamard_matrix,sage.combinat.matrices.hadamard_matrix,is_hadamard_matrix,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1585
,sage.combinat.matrices.hadamard_matrix.is_skew_hadamard_matrix,sage.combinat.matrices.hadamard_matrix,is_skew_hadamard_matrix,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L1696
,sage.combinat.matrices.hadamard_matrix.normalise_hadamard,sage.combinat.matrices.hadamard_matrix,normalise_hadamard,function,,https://github.com/sagemath/sage/blob/develop/src/sage/combinat/matrices/hadamard_matrix.py#L108
