part,status,full_name,module,entity_name,type,bases,source
01,Implemented,sage.arith.misc.integer_floor,sage.arith.misc,integer_floor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5348
01,Implemented,sage.arith.misc.integer_trunc,sage.arith.misc,integer_trunc,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5394
01,Implemented,sage.arith.misc.inverse_mod,sage.arith.misc,inverse_mod,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2195
01,Implemented,sage.arith.misc.is_power_of_two,sage.arith.misc,is_power_of_two,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5894
01,Implemented,sage.arith.misc.is_prime,sage.arith.misc,is_prime,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L479
01,Implemented,sage.arith.misc.is_prime_power,sage.arith.misc,is_prime_power,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L610
01,Implemented,sage.arith.misc.is_pseudoprime,sage.arith.misc,is_pseudoprime,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L575
01,Implemented,sage.arith.misc.is_pseudoprime_power,sage.arith.misc,is_pseudoprime_power,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L680
01,Implemented,sage.arith.misc.is_square,sage.arith.misc,is_square,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2928
01,Implemented,sage.arith.misc.is_squarefree,sage.arith.misc,is_squarefree,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3007
01,Implemented,sage.arith.misc.jacobi_symbol,sage.arith.misc,jacobi_symbol,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4318
01,Implemented,sage.arith.misc.kronecker,sage.arith.misc,kronecker,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4218
01,Implemented,sage.arith.misc.kronecker_symbol,sage.arith.misc,kronecker_symbol,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4218
01,Implemented,sage.arith.misc.legendre_symbol,sage.arith.misc,legendre_symbol,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4266
01,Implemented,sage.arith.misc.mqrr_rational_reconstruction,sage.arith.misc,mqrr_rational_reconstruction,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2458
01,Implemented,sage.arith.misc.multinomial,sage.arith.misc,multinomial,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L3995
01,Implemented,sage.arith.misc.multinomial_coefficients,sage.arith.misc,multinomial_coefficients,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4108
01,Implemented,sage.arith.misc.next_prime,sage.arith.misc,next_prime,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1200
01,Implemented,sage.arith.misc.next_prime_power,sage.arith.misc,next_prime_power,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1108
01,Implemented,sage.arith.misc.next_probable_prime,sage.arith.misc,next_probable_prime,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1168
01,Implemented,sage.arith.misc.nth_prime,sage.arith.misc,nth_prime,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4490
01,Implemented,sage.arith.misc.number_of_divisors,sage.arith.misc,number_of_divisors,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4833
01,Implemented,sage.arith.misc.odd_part,sage.arith.misc,odd_part,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2858
01,Implemented,sage.arith.misc.power_mod,sage.arith.misc,power_mod,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2285
01,Implemented,sage.arith.misc.previous_prime,sage.arith.misc,previous_prime,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1249
01,Implemented,sage.arith.misc.previous_prime_power,sage.arith.misc,previous_prime_power,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1303
01,Implemented,sage.arith.misc.prime_divisors,sage.arith.misc,prime_divisors,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2802
01,Implemented,sage.arith.misc.prime_factors,sage.arith.misc,prime_factors,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2802
01,Implemented,sage.arith.misc.prime_powers,sage.arith.misc,prime_powers,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L809
01,Implemented,sage.arith.misc.prime_to_m_part,sage.arith.misc,prime_to_m_part,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2886
01,Implemented,sage.arith.misc.primes,sage.arith.misc,primes,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1020
01,Implemented,sage.arith.misc.primes_first_n,sage.arith.misc,primes_first_n,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L931
01,Implemented,sage.arith.misc.primitive_root,sage.arith.misc,primitive_root,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4369
01,Implemented,sage.arith.misc.quadratic_residues,sage.arith.misc,quadratic_residues,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4533
01,Implemented,sage.arith.misc.radical,sage.arith.misc,radical,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2762
