Status,Implementation Type,full_name,module,entity_name,type,bases,source
,,sage.schemes.riemann_surfaces.riemann_surface.bisect,sage.schemes.riemann_surfaces.riemann_surface,bisect,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/riemann_surfaces/riemann_surface.py#L193
,,sage.schemes.riemann_surfaces.riemann_surface.differential_basis_baker,sage.schemes.riemann_surfaces.riemann_surface,differential_basis_baker,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/riemann_surfaces/riemann_surface.py#L303
,,sage.schemes.riemann_surfaces.riemann_surface.find_closest_element,sage.schemes.riemann_surfaces.riemann_surface,find_closest_element,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/riemann_surfaces/riemann_surface.py#L378
,,sage.schemes.riemann_surfaces.riemann_surface.integer_matrix_relations,sage.schemes.riemann_surfaces.riemann_surface,integer_matrix_relations,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/riemann_surfaces/riemann_surface.py#L3901
,,sage.schemes.riemann_surfaces.riemann_surface.numerical_inverse,sage.schemes.riemann_surfaces.riemann_surface,numerical_inverse,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/riemann_surfaces/riemann_surface.py#L251
,,sage.schemes.riemann_surfaces.riemann_surface.reparameterize_differential_minpoly,sage.schemes.riemann_surfaces.riemann_surface,reparameterize_differential_minpoly,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/riemann_surfaces/riemann_surface.py#L407
,,sage.schemes.riemann_surfaces.riemann_surface.voronoi_ghost,sage.schemes.riemann_surfaces.riemann_surface,voronoi_ghost,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/riemann_surfaces/riemann_surface.py#L146
,,sage.schemes.toric.chow_group,sage.schemes.toric.chow_group,chow_group,module,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/chow_group.py#L139
,,sage.schemes.toric.chow_group.ChowCycle,sage.schemes.toric.chow_group,ChowCycle,class,FGP_Element,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/chow_group.py#L139
,,sage.schemes.toric.chow_group.ChowGroupFactory,sage.schemes.toric.chow_group,ChowGroupFactory,class,UniqueFactory,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/chow_group.py#L522
,,sage.schemes.toric.chow_group.ChowGroup_class,sage.schemes.toric.chow_group,ChowGroup_class,class,"FGP_Module_class, WithEqualityById",https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/chow_group.py#L584
,,sage.schemes.toric.chow_group.ChowGroup_degree_class,sage.schemes.toric.chow_group,ChowGroup_degree_class,class,"A, SageObject",https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/chow_group.py#L1027
,,sage.schemes.toric.chow_group.is_ChowCycle,sage.schemes.toric.chow_group,is_ChowCycle,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/chow_group.py#L1217
,,sage.schemes.toric.chow_group.is_ChowGroup,sage.schemes.toric.chow_group,is_ChowGroup,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/chow_group.py#L1189
,,sage.schemes.toric.divisor,sage.schemes.toric.divisor,divisor,module,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor.py#L231
,,sage.schemes.toric.divisor.ToricDivisor,sage.schemes.toric.divisor,ToricDivisor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor.py#L231
,,sage.schemes.toric.divisor.ToricDivisorGroup,sage.schemes.toric.divisor,ToricDivisorGroup,class,DivisorGroup_generic,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor.py#L1643
,,sage.schemes.toric.divisor.ToricDivisor_generic,sage.schemes.toric.divisor,ToricDivisor_generic,class,Divisor_generic,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor.py#L384
,,sage.schemes.toric.divisor.ToricRationalDivisorClassGroup,sage.schemes.toric.divisor,ToricRationalDivisorClassGroup,class,"FreeModule_ambient_field, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor.py#L1853
,,sage.schemes.toric.divisor.ToricRationalDivisorClassGroup_basis_lattice,sage.schemes.toric.divisor,ToricRationalDivisorClassGroup_basis_lattice,class,FreeModule_ambient_pid,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor.py#L2010
,,sage.schemes.toric.divisor.is_ToricDivisor,sage.schemes.toric.divisor,is_ToricDivisor,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor.py#L195
,,sage.schemes.toric.divisor_class,sage.schemes.toric.divisor_class,divisor_class,module,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor_class.pyx#L94
,,sage.schemes.toric.divisor_class.ToricRationalDivisorClass,sage.schemes.toric.divisor_class,ToricRationalDivisorClass,class,Vector_rational_dense,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor_class.pyx#L94
,,sage.schemes.toric.divisor_class.is_ToricRationalDivisorClass,sage.schemes.toric.divisor_class,is_ToricRationalDivisorClass,function,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/divisor_class.pyx#L70
,,sage.schemes.toric.fano_variety,sage.schemes.toric.fano_variety,fano_variety,module,,https://github.com/sagemath/sage/blob/develop/src/sage/schemes/toric/fano_variety.py#L1258
