Status,Implementation Type,full_name,module,entity_name,type,bases,source
Implemented,Full,sage.graphs.base.c_graph.CGraphBackend,sage.graphs.base.c_graph,CGraphBackend,class,GenericGraphBackend,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/c_graph.pyx#L1314
Implemented,Full,sage.graphs.base.c_graph.Search_iterator,sage.graphs.base.c_graph,Search_iterator,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/c_graph.pyx#L4736
Implemented,Full,sage.graphs.base.dense_graph,sage.graphs.base.dense_graph,dense_graph,module,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/dense_graph.pyx#L133
Implemented,Full,sage.graphs.base.dense_graph.DenseGraph,sage.graphs.base.dense_graph,DenseGraph,class,CGraph,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/dense_graph.pyx#L133
Implemented,Full,sage.graphs.base.dense_graph.DenseGraphBackend,sage.graphs.base.dense_graph,DenseGraphBackend,class,CGraphBackend,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/dense_graph.pyx#L533
Implemented,Full,sage.graphs.base.graph_backends,sage.graphs.base.graph_backends,graph_backends,module,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/graph_backends.pyx#L62
Implemented,Full,sage.graphs.base.graph_backends.GenericGraphBackend,sage.graphs.base.graph_backends,GenericGraphBackend,class,SageObject,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/graph_backends.pyx#L62
Implemented,Full,sage.graphs.base.graph_backends.unpickle_graph_backend,sage.graphs.base.graph_backends,unpickle_graph_backend,function,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/graph_backends.pyx#L754
,,sage.graphs.base.overview,sage.graphs.base.overview,overview,module,,
Implemented,Full,sage.graphs.base.sparse_graph,sage.graphs.base.sparse_graph,sparse_graph,module,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/sparse_graph.pyx#L224
Implemented,Full,sage.graphs.base.sparse_graph.SparseGraph,sage.graphs.base.sparse_graph,SparseGraph,class,CGraph,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/sparse_graph.pyx#L224
Implemented,Full,sage.graphs.base.sparse_graph.SparseGraphBackend,sage.graphs.base.sparse_graph,SparseGraphBackend,class,CGraphBackend,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/sparse_graph.pyx#L1211
Implemented,Full,sage.graphs.base.static_dense_graph,sage.graphs.base.static_dense_graph,static_dense_graph,module,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_dense_graph.pyx#L468
Implemented,Full,sage.graphs.base.static_dense_graph.connected_full_subgraphs,sage.graphs.base.static_dense_graph,connected_full_subgraphs,function,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_dense_graph.pyx#L468
Implemented,Full,sage.graphs.base.static_dense_graph.connected_subgraph_iterator,sage.graphs.base.static_dense_graph,connected_subgraph_iterator,function,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_dense_graph.pyx#L747
Implemented,Full,sage.graphs.base.static_dense_graph.is_strongly_regular,sage.graphs.base.static_dense_graph,is_strongly_regular,function,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_dense_graph.pyx#L126
Implemented,Full,sage.graphs.base.static_dense_graph.is_triangle_free,sage.graphs.base.static_dense_graph,is_triangle_free,function,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_dense_graph.pyx#L273
Implemented,Full,sage.graphs.base.static_dense_graph.triangles_count,sage.graphs.base.static_dense_graph,triangles_count,function,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_dense_graph.pyx#L334
Implemented,Full,sage.graphs.base.static_sparse_backend,sage.graphs.base.static_sparse_backend,static_sparse_backend,module,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_sparse_backend.pyx#L428
Implemented,Full,sage.graphs.base.static_sparse_backend.StaticSparseBackend,sage.graphs.base.static_sparse_backend,StaticSparseBackend,class,CGraphBackend,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_sparse_backend.pyx#L428
Implemented,Full,sage.graphs.base.static_sparse_backend.StaticSparseCGraph,sage.graphs.base.static_sparse_backend,StaticSparseCGraph,class,CGraph,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_sparse_backend.pyx#L54
Implemented,Full,sage.graphs.base.static_sparse_graph,sage.graphs.base.static_sparse_graph,static_sparse_graph,module,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_sparse_graph.pyx#L1106
Implemented,Full,sage.graphs.base.static_sparse_graph.spectral_radius,sage.graphs.base.static_sparse_graph,spectral_radius,function,,https://github.com/sagemath/sage/blob/develop/src/sage/graphs/base/static_sparse_graph.pyx#L1106
