Status,full_name,module,entity_name,type,bases,source
,sage.manifolds.utilities,sage.manifolds.utilities,utilities,module,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L811
,sage.manifolds.utilities.ExpressionNice,sage.manifolds.utilities,ExpressionNice,class,Expression,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L811
,sage.manifolds.utilities.SimplifyAbsTrig,sage.manifolds.utilities,SimplifyAbsTrig,class,ExpressionTreeWalker,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L208
,sage.manifolds.utilities.SimplifySqrtReal,sage.manifolds.utilities,SimplifySqrtReal,class,ExpressionTreeWalker,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L41
,sage.manifolds.utilities.exterior_derivative,sage.manifolds.utilities,exterior_derivative,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L1289
,sage.manifolds.utilities.set_axes_labels,sage.manifolds.utilities,set_axes_labels,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L1239
,sage.manifolds.utilities.simplify_abs_trig,sage.manifolds.utilities,simplify_abs_trig,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L413
,sage.manifolds.utilities.simplify_chain_generic,sage.manifolds.utilities,simplify_chain_generic,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L607
,sage.manifolds.utilities.simplify_chain_generic_sympy,sage.manifolds.utilities,simplify_chain_generic_sympy,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L677
,sage.manifolds.utilities.simplify_chain_real,sage.manifolds.utilities,simplify_chain_real,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L501
,sage.manifolds.utilities.simplify_chain_real_sympy,sage.manifolds.utilities,simplify_chain_real_sympy,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L737
,sage.manifolds.utilities.simplify_sqrt_real,sage.manifolds.utilities,simplify_sqrt_real,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L343
,sage.manifolds.utilities.xder,sage.manifolds.utilities,xder,function,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/utilities.py#L1289
,sage.manifolds.vector_bundle,sage.manifolds.vector_bundle,vector_bundle,module,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/vector_bundle.py#L45
,sage.manifolds.vector_bundle.TopologicalVectorBundle,sage.manifolds.vector_bundle,TopologicalVectorBundle,class,"CategoryObject, UniqueRepresentation",https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/vector_bundle.py#L45
,sage.manifolds.vector_bundle_fiber,sage.manifolds.vector_bundle_fiber,vector_bundle_fiber,module,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/vector_bundle_fiber.py#L25
,sage.manifolds.vector_bundle_fiber.VectorBundleFiber,sage.manifolds.vector_bundle_fiber,VectorBundleFiber,class,FiniteRankFreeModule,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/vector_bundle_fiber.py#L25
,sage.manifolds.vector_bundle_fiber_element,sage.manifolds.vector_bundle_fiber_element,vector_bundle_fiber_element,module,,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/vector_bundle_fiber_element.py#L24
,sage.manifolds.vector_bundle_fiber_element.VectorBundleFiberElement,sage.manifolds.vector_bundle_fiber_element,VectorBundleFiberElement,class,FiniteRankFreeModuleElement,https://github.com/sagemath/sage/blob/develop/src/sage/manifolds/vector_bundle_fiber_element.py#L24
,sage.matrix,sage.matrix,matrix,module,,
,sage.matrix.action,sage.matrix.action,action,module,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L123
,sage.matrix.action.MatrixMatrixAction,sage.matrix.action,MatrixMatrixAction,class,MatrixMulAction,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L123
,sage.matrix.action.MatrixMulAction,sage.matrix.action,MatrixMulAction,class,Action,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L81
,sage.matrix.action.MatrixPolymapAction,sage.matrix.action,MatrixPolymapAction,class,MatrixMulAction,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L394
,sage.matrix.action.MatrixSchemePointAction,sage.matrix.action,MatrixSchemePointAction,class,MatrixMulAction,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L539
,sage.matrix.action.MatrixVectorAction,sage.matrix.action,MatrixVectorAction,class,MatrixMulAction,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L292
,sage.matrix.action.PolymapMatrixAction,sage.matrix.action,PolymapMatrixAction,class,MatrixMulAction,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L465
,sage.matrix.action.VectorMatrixAction,sage.matrix.action,VectorMatrixAction,class,MatrixMulAction,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/action.pyx#L343
,sage.matrix.args,sage.matrix.args,args,module,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L120
,sage.matrix.args.MatrixArgs,sage.matrix.args,MatrixArgs,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L120
,sage.matrix.args.MatrixArgs_init,sage.matrix.args,MatrixArgs_init,function,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L1634
,sage.matrix.args.SparseEntry,sage.matrix.args,SparseEntry,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L61
,sage.matrix.args.base,sage.matrix.args,base,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L48
,sage.matrix.args.column_keys,sage.matrix.args,column_keys,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L50
,sage.matrix.args.entries,sage.matrix.args,entries,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L51
,sage.matrix.args.entry,sage.matrix.args,entry,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L33
,sage.matrix.args.i,sage.matrix.args,i,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L32
,sage.matrix.args.j,sage.matrix.args,j,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L32
,sage.matrix.args.kwds,sage.matrix.args,kwds,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L54
,sage.matrix.args.ncols,sage.matrix.args,ncols,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L49
,sage.matrix.args.nrows,sage.matrix.args,nrows,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L49
,sage.matrix.args.row_keys,sage.matrix.args,row_keys,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L50
,sage.matrix.args.space,sage.matrix.args,space,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L47
,sage.matrix.args.sparse,sage.matrix.args,sparse,attribute,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/args.pyx#L53
,sage.matrix.benchmark,sage.matrix.benchmark,benchmark,module,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/benchmark.py#L1119
,sage.matrix.benchmark.MatrixVector_QQ,sage.matrix.benchmark,MatrixVector_QQ,function,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/benchmark.py#L1119
,sage.matrix.benchmark.charpoly_GF,sage.matrix.benchmark,charpoly_GF,function,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/benchmark.py#L652
,sage.matrix.benchmark.charpoly_ZZ,sage.matrix.benchmark,charpoly_ZZ,function,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/benchmark.py#L165
,sage.matrix.benchmark.det_GF,sage.matrix.benchmark,det_GF,function,,https://github.com/sagemath/sage/blob/develop/src/sage/matrix/benchmark.py#L855
